Character 1,Character 2,Num Matches,Player 1 Win Rate,Player 2 Win Rate,Score
TE,PO,23640,45.58,54.42,-2
TE,FA,16322,50.13,49.87,0
TE,MI,16241,48.02,51.98,-1
TE,ZA,12817,51.93,48.07,+1
TE,RA,28804,47.63,52.37,-1
TE,LE,11245,56.00,44.00,+3
TE,NA,23257,50.01,49.99,0
TE,GI,27920,53.08,46.92,+2
TE,AN,13466,48.32,51.68,-1
TE,IN,12616,47.54,52.46,-1
TE,GO,7599,52.82,47.18,+2
TE,JC,11225,44.53,55.47,-3
TE,HA,12046,44.40,55.60,-3
TE,BA,27620,48.03,51.97,-1
TE,BI,32254,51.35,48.65,+1
TE,SI,18095,51.87,48.13,+1
BI,SO,58831,47.48,52.52,-2
BI,KY,59514,46.24,53.76,-2
BI,MA,33012,47.64,52.36,-1
BI,AX,17264,46.17,53.83,-2
BI,CH,26259,51.65,48.35,+1
BI,PO,33597,45.70,54.30,-2
BI,FA,26378,46.43,53.57,-2
BI,MI,23670,50.89,49.11,0
BI,ZA,19193,51.38,48.62,+1
BI,RA,48614,50.09,49.91,0
BI,LE,16868,48.14,51.86,-1
BI,NA,35467,48.05,51.95,-1
BI,GI,43695,51.00,49.00,0
BI,AN,19146,46.86,53.14,-2
BI,IN,18651,45.09,54.91,-2
BI,GO,11522,49.24,50.76,0
BI,JC,16994,46.35,53.65,-2
BI,HA,19548,51.48,48.52,+1
BI,BA,42798,42.20,57.80,-3
BI,TE,31162,49.35,50.65,0
BI,SI,28882,47.61,52.39,-1
SI,SO,37934,48.99,51.01,0
SI,KY,36704,49.14,50.86,0
SI,MA,18477,46.63,53.37,-2
SI,AX,11313,46.21,53.79,-2
SI,CH,17212,51.36,48.64,+1
SI,PO,22897,44.18,55.82,-3
SI,FA,16618,48.04,51.96,-1
SI,MI,15510,48.18,51.82,-1
SI,ZA,11897,49.41,50.59,0
SI,RA,25694,49.93,50.07,0
SI,LE,12207,45.51,54.49,-2
SI,NA,23796,48.21,51.79,-1
SI,GI,26373,50.70,49.30,0
SI,AN,14165,46.47,53.53,-2
SI,IN,11828,48.27,51.73,-1
SI,GO,9257,43.83,56.17,-3
SI,JC,10427,47.68,52.32,-1
SI,HA,12250,50.25,49.75,0
SI,BA,27889,46.90,53.10,-2
SI,TE,19986,46.99,53.01,-2
SI,BI,30805,52.49,47.51,+1
